,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CWC25,1244.2556387068819,-0.6335651351622691,0.14668445527610846,-4.319238422160622,1.565685626583332e-05,6.890325129356564e-05
CWC27,1861.4853984711954,-0.05397118029524846,0.13451677036595383,-0.4012226888024406,0.688256177634929,0.7550697417161477
CWF19L1,1901.3150570143225,0.08262393383350278,0.13353495537110466,0.618743860765775,0.5360851106178819,0.6210301116477428
CWF19L2,2300.85069672792,-0.3067116449884908,0.10558192220303077,-2.9049636395015974,0.0036729576620866443,0.008591806056160334
CX3CR1,73.04627391917859,0.1524643599510401,0.398383234905596,0.3827077712925576,0.7019364517097861,0.7667234896428148
CXADR,209.55875899620708,0.2819863679017529,0.28837025809390765,0.9778621754048027,0.3281424948533145,0.4163780641062979
CXCL10,65.9205409119533,2.509419145136999,0.34122230852354146,7.354205989623536,1.9206535349511082e-13,5.0239081454789005e-12
CXCL12,385.0324966929319,-1.1389534008296025,0.3509900313411301,-3.244973643489733,0.0011746149493565936,0.003141652545265756
CXCL16,84.92793940773088,2.0188638807164163,0.3769698072856972,5.355505511841598,8.53175458464763e-08,6.397398703504885e-07
CXCL2,74.98782701361141,2.267153954559855,0.5897024171539037,3.8445729381641,0.00012076256326013764,0.00042266897141048174
CXCL3,43.41512223893496,1.6228054076323515,0.4019570666029408,4.037260549608357,5.407899667612219e-05,0.00020833098476946224
CXCL5,7.79291772853944,-3.8923010715964197,1.0152525273944877,-3.833825542483996,0.000126165637576193,0.000439534930113842
CXCL8,234.05610272791046,3.5799673902714724,0.3757887096218543,9.526543237219379,1.6260767066689792e-21,1.5858262894236545e-19
CXCL9,217.07276121488343,2.9905307302740236,0.32877638106635126,9.095941504601258,9.377045884677429e-20,7.156905697198972e-18
CXCR2,10.924018094509087,0.18877032074696581,0.5847671820214878,0.32281278182267975,0.7468370323401577,0.804807194184718
CXCR2P1,5.800640397667201,-0.38134382935426087,0.8876549465853716,-0.4296081836993228,0.6674806830298253,0.7372947850932119
CXCR3,248.5254349087599,-1.8557362798927954,0.2822174872875311,-6.575553831652251,4.8472402174811167e-11,7.392041331658703e-10
CXCR4,33439.01739788832,0.3996313769527615,0.29657708244027237,1.347478954424077,0.1778260270480958,0.24893322193508013
CXCR5,82.51833506367987,-0.10123546728691636,0.3909374563913713,-0.25895566063531283,0.7956694514767382,0.8458337817171974
CXCR6,170.06898880042002,0.2921022386067959,0.5394513631868598,0.5414802121940602,0.5881766330475502,0.6675240733796599
CXorf38,2076.3618463876014,0.240200507460191,0.13542271245164572,1.7737091741236346,0.076111268166618,0.12074323985986524
CXorf65,143.11149132053174,-1.0868399216544382,0.221849121797957,-4.899004840975877,9.632327147087697e-07,5.650989104969867e-06
