,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC2,1633.8981884612494,-4.6606098985443773e-07,0.0013046920386932156,-0.6943840353208418,0.4874414028566194,0.6380594151492066
ABCC3,11.841800136960847,7.630926256661284e-07,0.001143375820844843,0.5676830108467386,0.5702502295765823,0.7080507776265788
ABCC4,2169.6126895587804,4.531426835482123e-06,0.0011587483472218485,0.9491741388798782,0.34253205222230587,0.4985917982488524
ABCC5,2613.1985019381013,3.995387557368966e-09,0.001177241720046057,0.014620975288928787,0.9883345651802385,0.9922316667848923
ABCC6,18.93413338077022,-2.946496070581654e-06,0.001191903811105649,-0.9785035339708863,0.3278253443344814,0.4834222123125923
ABCC6P1,1.983475995436292,3.056367930170967e-07,0.0010815031799772288,0.7896561084516668,0.4297286308704006,0.5857563482138747
ABCC6P2,2.265250752545939,-5.7679733280255e-07,0.0012379903937059314,-0.6279674048594673,0.5300252929418013,0.6747423254576831
ABCC8,0.23734174501624206,3.279794828601474e-07,0.0011127345106345674,0.2998016705651877,0.7643284409814785,
ABCC9,232.93188925844345,1.851468491730961e-06,0.0010355720958749523,3.533584149663159,0.0004099655601380868,0.0022943926757422028
ABCD1,1802.2548441998943,1.0451698999095344e-06,0.001109586469176668,1.0161290395975329,0.3095679420444396,0.46509184241722873
ABCD1P2,0.18492691066472677,-5.153950774625189e-07,0.0017514420711331007,-0.6976162486386444,0.48541721722108677,
ABCD1P3,0.08289324441139155,8.650832526099795e-08,0.0010953505383255082,0.02874301707429448,0.9770695478633209,
ABCD1P4,0.25236610328857084,-1.5720460298757297e-07,0.0011949307770123309,-0.24345897586965173,0.807649861638184,
ABCD1P5,0.08289324441139155,8.650832526099795e-08,0.0010953505383255082,0.02874301707429448,0.9770695478633209,
ABCD2,8.53816851531357,-3.0928656798036443e-06,0.0013193834126499235,-1.826138467659786,0.06782940710714333,0.15482531713039957
ABCD3,1703.615243388523,-8.813712344297146e-06,0.0012708679995578327,-2.3551900988765553,0.018513232024055203,0.05677541920333802
ABCD4,1382.4928339220914,-5.1826812534637955e-06,0.0012425373614370133,-1.3210340179251963,0.18649002175822949,0.32583915024713583
ABCE1,4978.967504962108,1.1000440717165034,0.29412833829216445,4.5472908206513685,5.434088550380363e-06,5.199869510102313e-05
ABCF1,5020.016959618731,1.2199447481257585e-05,0.0011413279110982848,2.267791180130109,0.023341937237279568,0.06815208674562945
ABCF2,3638.2566566979535,2.0540862426787638e-05,0.001136415173378748,1.9588190368206082,0.05013398334637536,0.12317026273714352
ABCF2P1,0.996230070884336,3.339880282151242e-07,0.0011503928683323176,0.4078072782155765,0.6834151697879427,
ABCF2P2,0.0,,,,,
ABCF3,2054.4232658949836,-1.792755514239893e-06,0.001188568155390338,-0.4166175939238138,0.6769581382949388,0.7907279903405575
ABCG1,8.236466799725344,8.711557988474502e-08,0.0011677670553595437,0.04471250392252744,0.9643364669779143,0.9777529840101709
ABCG2,91.54280257695757,3.842962654809669e-06,0.0010535012603536558,3.7469418646497856,0.00017900355084263508,0.0011255587614442829
ABCG4,36.69095879067927,-3.4168062479833674,0.5974759764232616,-6.011238547086496,1.8411125425054544e-09,3.771093450097221e-08
ABCG5,26.448631058703835,9.454804207901857e-07,0.0010301449251254949,2.9640467527529046,0.0030362215357196292,0.012758236636068749
ABCG8,0.4155084889111191,-5.328836850444809e-07,0.0011839665017121964,-0.7514664140557465,0.45237200623327545,
ABHD1,29.075430684293664,-0.511935382956514,0.25329938331548224,-3.2068815641868094,0.0013418222634514448,0.006362426451452702
ABHD10,1202.5452502787184,3.4436606805891544e-06,0.0011578732714306256,0.8475055268830566,0.3967134077675405,0.553483721400474
ABHD11,666.1840476417384,1.2386889805550024e-05,0.0011190343112580216,3.1527358906944043,0.0016174807677515513,0.007451673880566812
ABHD12,3163.891154300563,2.853759933286463e-06,0.0011396116270944682,1.1276947103834327,0.2594488723614372,0.41126602716352334
ABHD12B,33.14351706231496,4.630097276322214e-06,0.0011445802147987487,1.4325191449154933,0.1519953030469978,0.2807634792439447
ABHD13,582.8198376362088,5.670339377051952e-06,0.0011361749758365038,1.6895778455082788,0.09110874735001995,0.19349185346830336
ABHD14A,414.9829028396764,-0.45773316475692105,0.2400770533900095,-3.0785330833478834,0.002080224310112648,0.00927958123167128
ABHD14A-ACY1,103.79329569939834,1.101786106255214e-06,0.0011645619384465366,0.3654817843983782,0.7147518017188748,0.8174978812563088
